WallArea,RoofArea,OverallHeight,Orientation,GlazingArea,GlazingDistribution,CompactnessRatio,SurfaceArea,HeatingLoad
278.0,125.0,3.5,1,0.10,3,0.68,612.0,9.70
290.0,130.0,7.0,2,0.40,4,0.75,728.0,31.80
242.0,109.0,7.0,3,0.00,0,0.73,684.0,13.20
315.0,144.0,3.5,4,0.25,2,0.81,805.0,14.10
268.0,121.0,7.0,1,0.10,1,0.65,592.0,16.40
228.0,101.0,3.5,2,0.40,3,0.69,570.0,12.30
296.0,133.0,7.0,3,0.00,0,0.77,738.0,18.50
250.0,113.0,3.5,4,0.25,4,0.72,695.0,12.85
322.0,148.0,7.0,1,0.10,2,0.83,815.0,21.30
262.0,119.0,3.5,2,0.40,1,0.70,625.0,14.50
238.0,107.0,7.0,3,0.00,0,0.71,582.0,14.60
302.0,136.0,3.5,4,0.25,3,0.78,755.0,13.95
272.0,123.0,7.0,1,0.10,4,0.66,600.0,17.70
220.5,98.0,3.5,2,0.40,2,0.66,563.5,11.90
308.0,139.0,7.0,3,0.25,1,0.80,780.0,24.50
245.0,110.25,7.0,4,0.00,0,0.74,686.0,12.80
288.0,129.0,3.5,1,0.10,3,0.74,725.0,10.20
258.0,117.0,7.0,2,0.40,4,0.71,715.0,30.10
232.0,104.0,3.5,3,0.25,2,0.70,576.0,11.35
316.0,145.0,7.0,4,0.00,0,0.82,810.0,20.40
276.0,125.0,3.5,1,0.10,1,0.67,608.0,8.60
292.0,131.0,7.0,2,0.40,3,0.76,732.0,32.50
243.0,110.0,3.5,3,0.25,4,0.73,685.0,12.10
320.0,146.0,7.0,4,0.10,2,0.82,812.0,22.60
266.0,120.5,3.5,1,0.00,0,0.65,596.0,7.10
224.0,99.5,7.0,2,0.40,1,0.69,566.0,25.80
300.0,135.0,3.5,3,0.25,3,0.78,750.0,14.40
248.0,112.0,7.0,4,0.10,4,0.73,690.0,18.20
312.0,142.0,7.0,1,0.00,0,0.81,800.0,19.10
274.0,124.0,3.5,2,0.40,2,0.67,604.0,13.30
236.0,106.0,7.0,3,0.25,1,0.72,581.0,17.80
294.0,132.0,3.5,4,0.10,3,0.76,735.0,10.80
256.0,115.5,7.0,1,0.40,4,0.72,705.0,29.90
318.5,147.0,3.5,2,0.00,0,0.82,808.5,8.30
268.0,121.0,7.0,3,0.25,2,0.65,592.0,20.10
228.0,101.0,7.0,4,0.10,1,0.69,570.0,16.10
284.0,127.5,3.5,1,0.40,3,0.74,718.0,15.60
244.0,110.0,7.0,2,0.00,0,0.74,685.0,13.50
310.0,140.0,3.5,3,0.25,4,0.80,790.0,14.80
260.0,118.0,3.5,4,0.10,2,0.70,620.0,9.40
